,name,T,alpha_gain,alpha_lose,param,param1,param2
0,subject11,0.499055976035,0.333679265324,0.0675329609954,6.0,0.91,0.96
1,subject2,0.42774403793300003,1.68861459998,0.141022513579,1.0,0.86,0.91
2,subject18,0.0672944541581,0.0130988961942,0.0076491482846499995,2.0,0.41,0.86
3,subject14,0.39581155964000003,0.500976712843,-0.261493278226,9.5,0.71,0.66
4,subject6,0.00011574074069,0.124827546296,-0.14633616255100002,1.0,0.01,0.01
5,subject10,1.21923636179,1.35857674214,1.3423053691100002,3.0,0.21,0.66
6,subject3,1.1605979375,1.785613079,0.438472420079,8.5,0.86,0.96
7,subject5,1.37350520158,1.21232204146,0.138874331184,4.0,0.96,0.91
8,subject17,-0.9166555367299999,-0.10062175547700002,0.539639408787,2.5,0.01,0.16
9,subject16,-4.0473544707,-0.622067855444,-0.6830245153129999,4.5,0.06,0.16
10,subject1,1.07282768517,0.800772920355,0.025429527496799997,9.0,0.91,0.06
11,subject7,-0.277215733882,0.228599994562,0.0171405705139,3.0,0.41,0.46
12,subject4,1.05317174271e-05,3.2383011117700003e-06,1.00000858042,7.0,0.26,0.51
13,subject21,1.26378953799,0.9066605593799999,-0.0275678873533,5.0,0.16,0.36
14,subject13,-0.656886812719,-0.566682640503,0.841147215801,2.0,0.01,0.86
15,subject19,0.283107509503,1.6772197549799999,0.132515744751,5.5,0.81,0.96
16,subject0,479205.238305,-2.3754015904599997,-1.55334571495,8.5,0.56,0.46
17,subject9,1.54841469397,2.16723204808,0.172474411718,6.0,0.66,0.26
18,subject8,0.505021698942,0.42180068447499997,-0.0128544145358,5.0,0.56,0.36
19,subject12,3.92175381997e-05,0.0556036688366,-0.0482898080146,1.0,0.01,0.01
20,subject20,0.5911978364720001,0.549085358019,0.00358369166318,4.0,0.21,0.61
21,subject15,0.639769632957,0.30928278675500004,0.00632267158497,3.5,0.31,0.36
22,X,0.606964714035,0.864243532796,0.0684117086061,7.5,0.46,0.41
